187,Summer,Swimming,Swimming Men's 200 metres Backstroke
188,Summer,Swimming,Swimming Men's 200 metres Individual Medley
189,Summer,Swimming,Swimming Men's 400 metres Individual Medley
190,Summer,Badminton,Badminton Women's Singles
191,Summer,Boxing,Boxing Men's Light-Middleweight
192,Summer,Tennis,Tennis Men's Singles
193,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
194,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle"
195,Summer,Athletics,"Athletics Women's 5,000 metres"
196,Summer,Weightlifting,Weightlifting Women's Light-Heavyweight
197,Summer,Weightlifting,Weightlifting Women's Heavyweight
198,Summer,Athletics,Athletics Men's Discus Throw
199,Summer,Taekwondo,Taekwondo Men's Featherweight
200,Summer,Taekwondo,Taekwondo Men's Welterweight
201,Summer,Judo,Judo Men's Heavyweight
202,Summer,Cycling,Cycling Men's Sprint
203,Winter,Bobsleigh,Bobsleigh Men's Two
204,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle"
205,Winter,Nordic Combined,Nordic Combined Men's Team
206,Winter,Nordic Combined,Nordic Combined Men's Individual
207,Summer,Baseball,Baseball Men's Baseball
208,Summer,Rowing,Rowing Men's Coxed Fours
209,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial
210,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group
211,Summer,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
212,Summer,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs"
213,Summer,Gymnastics,Gymnastics Women's Individual All-Around
214,Summer,Gymnastics,Gymnastics Women's Team All-Around
215,Summer,Gymnastics,Gymnastics Women's Floor Exercise
216,Summer,Gymnastics,Gymnastics Women's Horse Vault
217,Summer,Gymnastics,Gymnastics Women's Uneven Bars
218,Summer,Gymnastics,Gymnastics Women's Balance Beam
219,Summer,Diving,Diving Women's Springboard
220,Summer,Diving,Diving Women's Synchronized Springboard
221,Summer,Athletics,"Athletics Women's 10,000 metres"
222,Summer,Sailing,Sailing Mixed 7 metres
223,Summer,Judo,Judo Women's Half-Middleweight
224,Summer,Athletics,Athletics Men's Decathlon
225,Winter,Biathlon,Biathlon Men's 10 kilometres Sprint
226,Winter,Biathlon,Biathlon Men's 20 kilometres
227,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
228,Winter,Freestyle Skiing,Freestyle Skiing Men's Moguls
229,Summer,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
230,Summer,Athletics,Athletics Women's Discus Throw
231,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
232,Summer,Athletics,"Athletics Women's 1,500 metres"
